Company ,Industry Tags,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Uber,Consumer,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,,,,,,,
Airbnb ,Consumer,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,,,,,,
Stripe,FinTech,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,,,,,,,,
Robinhood,FinTech,3,3,3,3,3,3,4,4,4,5,5,5,5,5,,,,,,,,,,,
Coinbase,FinTech,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,,,,,,,,,,
Chime,FinTech,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,,,,,,,,,,
Bolt ,B2B,2,2,2,2,2,2,3,3,3,4,4,4,4,,,,,,,,,,,,
DoorDash,Consumer,2,2,2,2,2,3,4,4,4,5,5,5,5,,,,,,,,,,,,
Linear,SaaS,4,4,4,4,5,5,5,5,,,,,,,,,,,,,,,,,
OpenAI,AI,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
Decagon,AI,4,4,4,4,,,,,,,,,,,,,,,,,,,,,
SpaceX,Hardware,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anduril ,Hardware,4,4,4,4,5,5,5,5,5,5,,,,,,,,,,,,,,,
Google,Big Tech,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5
Google Deepmind,AI,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,
Amazon,Big Tech,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Apple,Big Tech,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Microsoft,Big Tech,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Figma,SaaS,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,
Meta,Big Tech,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,,,,,