canonical_name,aliases,canonical_url,description,subcategory,tier_group
Hertz Fellowship,"hertz;hertz fellow;fannie and john hertz;hertz foundation",https://hertzfoundation.org,Top deep-tech PhD fellowship in applied physical sciences; ~15 awarded annually,research_phd,tier_3
Kleiner Perkins Fellows,"kp fellows;kpf;kleiner perkins fellow;kleiner perkins fellowship;kp fellow",https://fellows.kleinerperkins.com,KP-sponsored summer engineering/design/PM fellowship at portfolio companies,operator_track,tier_3
OpenAI Residency,"openai resident;openai research residency;openai residency program",https://openai.com/residency,OpenAI's research residency program; selective AI research path,ai_residency,tier_3
DeepMind Scholars,"deepmind scholar;deepmind scholarship;deepmind research scholar",https://deepmind.google,DeepMind's PhD scholarship program for AI research,ai_residency,tier_3
Anthropic Fellows,"anthropic fellow;anthropic fellowship;anthropic ai safety fellow",https://anthropic.com,Anthropic's research fellowship program focused on AI safety,ai_residency,tier_3
HHMI,"hhmi;hhmi investigator;howard hughes medical institute;hhmi fellow",https://hhmi.org,Howard Hughes Medical Institute investigator/fellow program; elite biomedical research,research_phd,tier_3
Bell Labs Fellow,"bell labs fellow;bell labs fellowship;nokia bell labs fellow",https://bell-labs.com,Bell Labs research fellowship; legendary industrial research lab,research_phd,tier_3
Thiel Fellowship,"thiel fellowship;thiel fellow;20 under 20 thiel;20 under 20;thiel foundation fellowship",https://thielfellowship.org,Peter Thiel's $100K fellowship for young entrepreneurs who skip or leave college to build,founder_track,tier_3
Neo Scholars,"neo scholar;neo scholars;neo fellowship;neo accelerator",https://neo.com,Ali Partovi's program for elite undergraduate engineers; founder + engineer track,founder_track,tier_3
Entrepreneur First,"ef;entrepreneur first;ef fellowship;ef cohort",https://joinef.com,Pre-team founder fellowship; matches technical co-founders globally,founder_track,tier_3
Y Combinator,"yc;y combinator;ycombinator;y-combinator;yc batch;yc startup school",https://ycombinator.com,Premier startup accelerator; W/S batch alumni signal,founder_track,tier_3
Greylock Edge,"greylock edge;greylock fellows;greylock fellowship",https://greylock.com,Greylock's emerging founder/operator program,founder_track,tier_3
Knight-Hennessy Scholars,"knight-hennessy;knight hennessy;kh scholar;knight hennessy scholars",https://knight-hennessy.stanford.edu,Stanford full-funding graduate scholarship; ~100 scholars per cohort,academic_scholar,tier_3
NDSEG Fellowship,"ndseg;national defense science and engineering graduate;ndseg fellow",https://ndseg.org,DoD STEM PhD fellowship; defense-relevant research,research_phd,tier_3
Nvidia Graduate Fellowship,"nvidia graduate fellowship;nvidia grad fellow;nvidia phd fellowship",https://nvidia.com/research/graduate-fellowship,Small elite ML/systems PhD fellowship sponsored by Nvidia,research_phd,tier_2
Apple Scholars in AI/ML,"apple scholar;apple scholars;apple ai ml scholar;apple ml scholar",https://machinelearning.apple.com,Apple's selective AI/ML PhD fellowship program,research_phd,tier_2
Google AI Residency,"google ai residency;google brain residency;google research residency",https://research.google/careers/ai-residency,Google's AI research residency program (one-year),ai_residency,tier_2
Meta FAIR Residency,"meta fair residency;fair residency;meta ai residency;facebook ai residency",https://ai.meta.com,Meta FAIR's AI research residency program,ai_residency,tier_2
Microsoft AI Residency,"microsoft ai residency;microsoft research ai resident",https://microsoft.com/research/academic-program/ai-residency-program,Microsoft Research AI residency program,ai_residency,tier_2
Cohere Labs,"cohere labs;cohere for ai;cohere c4ai;cohere labs scholar",https://cohere.com/research,Cohere's research community fellowship (formerly Cohere For AI),ai_residency,tier_2
Allen Institute,"allen institute;allen institute fellow;ai2 fellow;allen institute for ai",https://allenai.org,Allen Institute for AI research fellowship,research_phd,tier_2
Flatiron Institute,"flatiron institute;flatiron fellow;simons foundation flatiron",https://simonsfoundation.org/flatiron,Simons Foundation's computational science research fellowship,research_phd,tier_2
X (Alphabet),"x company;x alphabet;x moonshot;google x;alphabet x",https://x.company,Alphabet's moonshot factory; high-signal R&D program,research_phd,tier_2
IDEO,"ideo;ideo fellow;ideo fellowship;ideo design fellow",https://ideo.com,IDEO design fellowship; elite product/industrial design pipeline,design,tier_2
Apple Industrial Design,"apple design fellow;apple industrial design fellow;apple design program",https://apple.com,Apple industrial design fellowship/program,design,tier_2
CZI Fellowship,"czi;chan zuckerberg initiative;czi fellow;czi fellowship",https://chanzuckerberg.com,Chan Zuckerberg Initiative fellowship across science and education,research_phd,tier_2
CDL,"cdl;creative destruction lab;cdl fellow;cdl associate",https://creativedestructionlab.com,Creative Destruction Lab; deep tech accelerator with fellowship roles,operator_track,tier_2
South Park Commons,"spc;south park commons;spc fellow;spc founder fellowship",https://southparkcommons.com,SPC's founder fellowship; pre-idea founder community,founder_track,tier_2
Pioneer,"pioneer;pioneer fellowship;daniel gross pioneer;pioneer.app",https://pioneer.app,Daniel Gross's remote founder fellowship,founder_track,tier_2
Interact Fellowship,"interact;interact fellow;interact fellowship;interact tech",https://joininteract.com,Selective community of mission-driven young tech leaders,founder_track,tier_2
Emergent Ventures,"emergent ventures;ev fellow;tyler cowen emergent ventures;mercatus emergent ventures",https://mercatus.org/emergent-ventures,Tyler Cowen's grant program for ambitious early-career projects,founder_track,tier_2
Schmidt Futures,"schmidt futures;schmidt science fellows;schmidt futures fellow",https://schmidtfutures.com,Eric Schmidt's research and talent program,research_phd,tier_2
Rhodes Scholarship,"rhodes scholar;rhodes scholarship;rhodes fellow",https://rhodesscholar.org,Oxford graduate scholarship; oldest international fellowship,academic_scholar,tier_2
Marshall Scholarship,"marshall scholar;marshall scholarship;marshall fellow",https://marshallscholarship.org,UK graduate scholarship for American students,academic_scholar,tier_2
Gates Cambridge,"gates cambridge;gates scholar;gates cambridge scholar",https://gatescambridge.org,Cambridge graduate scholarship funded by Gates Foundation,academic_scholar,tier_2
Churchill Scholarship,"churchill scholar;churchill scholarship;winston churchill foundation",https://churchillscholarship.org,Cambridge STEM-focused graduate scholarship for Americans,academic_scholar,tier_2
Soros Fellowship,"soros fellowship;paul and daisy soros;new americans fellowship;pd soros",https://pdsoros.org,Paul & Daisy Soros Fellowship for New Americans (graduate),academic_scholar,tier_2
On Deck,"on deck;on deck fellow;on deck fellowship;odf",https://beondeck.com,On Deck founder/operator community fellowships,founder_track,tier_1
Z Fellows,"z fellows;z fellowship;cory levy z fellows",https://zfellows.com,Cory Levy's $10K weekend fellowship for young founders,founder_track,tier_1
Antler,"antler;antler fellow;antler residency;antler program",https://antler.co,Antler's pre-team founder residency program (top hubs only),founder_track,tier_1
NSF GRFP,"nsf grfp;nsf graduate research fellowship;nsf fellow",https://nsfgrfp.org,NSF's graduate research fellowship; broad STEM PhD funding,research_phd,tier_1
DOE CSGF,"doe csgf;computational science graduate fellowship;doe fellow",https://krellinst.org/csgf,DOE Computational Science Graduate Fellowship,research_phd,tier_1
Fulbright STEM,"fulbright;fulbright stem;fulbright fellow;fulbright scholar",https://fulbrightprogram.org,US State Department international exchange program (STEM track),academic_scholar,tier_1
Sigma Squared,"sigma squared;sigma squared society;s2;s squared",https://sigmasquared.org,Young entrepreneur society fellowship,founder_track,tier_1
Goldwater Scholarship,"goldwater;goldwater scholar;barry goldwater scholarship",https://goldwater.scholarsapply.org,Undergraduate STEM research scholarship,academic_scholar,tier_2
